Path: /, Method: GET, Execution Time: 0.67 seconds
Path: /favicon.ico, Method: GET, Execution Time: 0.01 seconds
Path: /group/, Method: GET, Execution Time: 0.32 seconds
Path: /group/, Method: POST, Execution Time: 0.03 seconds
Path: /groups/, Method: GET, Execution Time: 0.03 seconds
Path: /students/, Method: GET, Execution Time: 0.03 seconds
Path: /student/, Method: GET, Execution Time: 0.02 seconds
Path: /student/, Method: POST, Execution Time: 0.02 seconds
Path: /students/, Method: GET, Execution Time: 0.02 seconds
Path: /student_edit/9, Method: GET, Execution Time: 0.02 seconds
Path: /, Method: GET, Execution Time: 0.12 seconds
Path: /teacher/, Method: GET, Execution Time: 0.10 seconds
Path: /teacher/, Method: POST, Execution Time: 0.08 seconds
Path: /teachers/, Method: GET, Execution Time: 0.03 seconds
Path: /teacher/, Method: GET, Execution Time: 0.05 seconds
Path: /teacher/, Method: POST, Execution Time: 0.06 seconds
Path: /teachers/, Method: GET, Execution Time: 0.01 seconds
Path: /, Method: GET, Execution Time: 0.49 seconds
Path: /group/, Method: GET, Execution Time: 0.04 seconds
Path: /group/, Method: POST, Execution Time: 0.03 seconds
Path: /groups/, Method: GET, Execution Time: 0.02 seconds
Path: /group_edit/14, Method: GET, Execution Time: 0.08 seconds
Path: /group_edit/14, Method: POST, Execution Time: 0.03 seconds
Path: /group_edit/14, Method: POST, Execution Time: 0.32 seconds
Path: /teacher/, Method: GET, Execution Time: 0.03 seconds
Path: /, Method: GET, Execution Time: 0.70 seconds
Path: /favicon.ico, Method: GET, Execution Time: 0.02 seconds
Path: /group/, Method: GET, Execution Time: 0.24 seconds
Path: /group/, Method: POST, Execution Time: 0.02 seconds
Path: /students/, Method: GET, Execution Time: 0.05 seconds
Path: /student/, Method: GET, Execution Time: 0.02 seconds
Path: /student/, Method: POST, Execution Time: 0.03 seconds
Path: /students/, Method: GET, Execution Time: 0.01 seconds
Path: /, Method: GET, Execution Time: 1.08 seconds
Path: /favicon.ico, Method: GET, Execution Time: 0.02 seconds
Path: /group/, Method: GET, Execution Time: 0.36 seconds
