Path: /, Method: GET, Execution Time: 0.42 seconds
Path: /group/, Method: GET, Execution Time: 0.08 seconds
Path: /group/, Method: POST, Execution Time: 0.04 seconds
Path: /groups/, Method: GET, Execution Time: 0.02 seconds
Path: /, Method: GET, Execution Time: 0.48 seconds
Path: /group/, Method: GET, Execution Time: 0.04 seconds
Path: /, Method: GET, Execution Time: 0.50 seconds
Path: /group/, Method: GET, Execution Time: 0.06 seconds
Path: /group/, Method: POST, Execution Time: 0.01 seconds
Path: /groups/, Method: GET, Execution Time: 0.04 seconds
Path: /, Method: GET, Execution Time: 0.02 seconds
Path: /group/, Method: GET, Execution Time: 0.01 seconds
Path: /group/, Method: GET, Execution Time: 0.01 seconds
Path: /, Method: GET, Execution Time: 0.57 seconds
Path: /favicon.ico, Method: GET, Execution Time: 0.02 seconds
Path: /student/, Method: GET, Execution Time: 0.30 seconds
Path: /student/, Method: POST, Execution Time: 0.05 seconds
Path: /students/, Method: GET, Execution Time: 0.04 seconds
Path: /student/, Method: GET, Execution Time: 0.05 seconds
Path: /student/, Method: POST, Execution Time: 0.05 seconds
Path: /students/, Method: GET, Execution Time: 0.03 seconds
Path: /student_edit/11, Method: GET, Execution Time: 0.04 seconds
Path: /student_edit/10, Method: GET, Execution Time: 0.03 seconds
Path: /student_edit/7, Method: GET, Execution Time: 0.03 seconds
Path: /student_edit/7, Method: POST, Execution Time: 0.03 seconds
Path: /students/, Method: GET, Execution Time: 0.02 seconds
Path: /student_edit/9, Method: GET, Execution Time: 0.03 seconds
Path: /student_edit/9, Method: POST, Execution Time: 0.02 seconds
Path: /student_edit/9, Method: POST, Execution Time: 0.04 seconds
Path: /students/, Method: GET, Execution Time: 0.02 seconds
